fund_token,award_year_token,sel_set_year_token,fund_family,fund_ledger_number,fund_list_sequence,fund_long_name,fund_short_name,fund_desc,fund_type,fund_source,fund_gov_id,fund_lock,scan_group_1,fund_min,fund_max,fund_balance,fund_number_award,fund_amt_award,fund_number_accept,fund_amt_accept,fund_amt_paid,fund_number_paid,fund_available_dollars,fund_rounding,fund_distribution,fund_disbursement,fund_alternate,fund_real_dollars,fund_tfc_replacement,fund_need_based,fund_equity_offset,net_proceeds_percent,message_token,non_pars_flag,scan_group_2,direct_loan,dflt_ln_interest_rate,dflt_ln_deferment_request,dflt_ln_capitalize_interest,dflt_ln_eft_authorization,dflt_ln_borrower_signature,dflt_ln_first_time_borrower,ext_fund_code,fund_grant_subtype,fund_loan_subtype,alternative_loan,alp_loan_program_id,alp_lender,alp_guarantor,loan_type,anticipated,fund_external_name,fund_family_2,renewable,renew_increment_type,renew_increment_amt,renew_default_status,bypass_disb_rules,web_description,include_in_need_based,hold_release_flag,direct_loan_disbursement_option,fund_reduce_netpartner,web_display,alt_fund_satisfactory_progress,fin_aid_disclosure_category,report_as_additional_unsub,gainful_employment_reporting,bypass_ext_disb_tracking_status,unreconciled_changes,reconciliation_date,estimated_award,disburse_estimated,cod_reporting_if_estimated,default_award_status,web_display_awards_page,web_display_accept_awards_page,active_fund,bypass_fed_pack_requirements,fund_job_subtype,date_message_assigned,disb_to_date_option,cfp_category,bypass_coa,include_in_CDS,include_in_IPEDS,include_in_LCME,origination_fee,fvt_gv_fund_rep_type,File_Name,Snapshot_Date
14,1999,240,null,null,69,Texas Tuition Assistance Grant,TTAG,Texas Tuition Assistance Grant,G,S,null,null,null,900,900,1000000,15,13500,15,13500,13500,15,986500,0,1,Y,0,10000000,N,Y,N,null,null,N,null,N,null,null,null,null,null,null,null,null,null,N,null,null,null,null,Y,null,null,null,null,null,null,N,null,Y,R,G,Y,Y,null,null,false,false,false,false,null,false,false,1,P,true,true,true,false,null,null,G,null,false,true,true,true,null,null,dbfs:/mnt/adl/source-data/Snapshot/PFAIDS/funds/funds_202511200908.json.gz,2025-11-20T00:00:00.000Z
15,1999,242,null,null,12,Texas Work Study,TWS,Texas Work Study,J,S,null,null,null,1500,1500,100000,1,1500,1,1500,0,0,98500,0,1,N,null,100000,N,Y,N,null,null,N,null,N,null,null,null,null,null,null,null,null,null,N,null,null,null,null,N,null,null,null,null,null,null,N,null,Y,R,G,Y,Y,null,null,false,false,false,false,null,false,false,1,P,true,true,true,false,null,null,G,null,false,true,true,true,null,null,dbfs:/mnt/adl/source-data/Snapshot/PFAIDS/funds/funds_202511200908.json.gz,2025-11-20T00:00:00.000Z
16,1999,233,null,null,15,Hope Pierce Tartt Foundation,HPT,Hope Pierce Tartt Foundation Scholarship,G,O,null,null,null,2500,2500,100000,13,3000,13,3000,7500,6,97000,null,1,Y,null,100000,null,Y,N,null,null,N,null,N,null,null,null,null,null,null,null,null,null,N,null,null,null,null,Y,null,null,null,null,null,null,N,null,Y,R,G,Y,Y,null,null,false,false,false,false,null,false,false,1,P,true,true,true,false,null,null,G,null,false,true,true,true,null,null,dbfs:/mnt/adl/source-data/Snapshot/PFAIDS/funds/funds_202511200908.json.gz,2025-11-20T00:00:00.000Z
17,1999,233,null,null,13,College Access Loan,CAL,College Access Loan,L,S,null,N,null,7500,7500,348755,56,328134,56,328134,228862,54,20621,0,1,Y,null,348755,Y,N,N,null,null,N,null,N,9,Y,,N,Y,Y,null,null,STU,N,null,null,null,null,Y,null,null,null,null,null,null,N,null,N,R,G,Y,Y,null,null,false,false,false,false,null,false,false,1,P,true,true,true,false,null,null,G,null,false,true,true,true,null,null,dbfs:/mnt/adl/source-data/Snapshot/PFAIDS/funds/funds_202511200908.json.gz,2025-11-20T00:00:00.000Z
18,1999,244,null,null,null,State Student Incentive Grant,LEAP,State Student Incentive Grant,G,S,null,null,null,500,1250,25000,0,0,0,0,0,0,25000,0,1,Y,null,25000,null,Y,N,null,null,N,null,N,null,null,null,null,null,null,null,null,null,N,null,null,null,null,Y,null,null,null,null,null,null,N,null,Y,R,G,Y,Y,null,null,false,false,false,false,null,false,false,1,P,true,true,true,false,null,null,G,null,false,true,true,true,null,null,dbfs:/mnt/adl/source-data/Snapshot/PFAIDS/funds/funds_202511200908.json.gz,2025-11-20T00:00:00.000Z
19,1999,null,null,null,null,Athletic Scholarship Men's Basketball,ATHMB,Athletic Scholarship Men's Basketball,G,I,null,null,null,null,null,0,0,0,0,0,0,0,0,null,null,Y,null,0,null,null,N,null,null,N,null,N,null,null,null,null,null,null,null,null,null,N,null,null,null,null,Y,null,null,null,null,null,null,N,null,N,R,G,Y,Y,null,null,false,false,false,false,null,false,false,1,P,true,true,true,false,null,null,G,null,false,true,true,true,null,null,dbfs:/mnt/adl/source-data/Snapshot/PFAIDS/funds/funds_202511200908.json.gz,2025-11-20T00:00:00.000Z
20,1999,null,null,null,507,Athletic Scholarship Men's Track,ATHMT,Athletic Scholarship Men's Track,G,I,null,null,null,5000,5000,5000,1,689,1,689,689,1,4311,null,null,Y,null,5000,null,null,N,null,null,N,null,N,null,null,null,null,null,null,null,null,null,N,null,null,null,null,Y,null,null,null,null,null,null,N,null,N,R,G,Y,Y,null,null,false,false,false,false,null,false,false,1,P,true,true,true,false,null,null,G,null,false,true,true,true,null,null,dbfs:/mnt/adl/source-data/Snapshot/PFAIDS/funds/funds_202511200908.json.gz,2025-11-20T00:00:00.000Z
21,1999,null,null,null,110,Athletic Scholarship Women's Basketball,ATHWB,Athletic Scholarship Women's Basketball,G,I,null,null,null,2000,2000,2000,1,1915,1,1915,0,0,85,null,null,Y,null,2000,null,null,N,null,null,N,null,N,null,null,null,null,null,null,null,null,null,N,null,null,null,null,Y,null,null,null,null,null,null,N,null,N,R,G,Y,Y,null,null,false,false,false,false,null,false,false,1,P,true,true,true,false,null,null,G,null,false,true,true,true,null,null,dbfs:/mnt/adl/source-data/Snapshot/PFAIDS/funds/funds_202511200908.json.gz,2025-11-20T00:00:00.000Z
22,1999,null,null,null,222,Athletic Scholarship Women's Track,ATHWT,Athletic Scholarship Women's Track,G,I,null,null,null,5000,5000,5000,1,2000,1,2000,2000,1,3000,null,null,Y,null,5000,null,null,N,null,null,N,null,N,null,null,null,null,null,null,null,null,null,N,null,null,null,null,Y,null,null,null,null,null,null,N,null,N,R,G,Y,Y,null,null,false,false,false,false,null,false,false,1,P,true,true,true,false,null,null,G,null,false,true,true,true,null,null,dbfs:/mnt/adl/source-data/Snapshot/PFAIDS/funds/funds_202511200908.json.gz,2025-11-20T00:00:00.000Z
23,1999,null,null,null,95,Choir Scholarship,CHOIR,Choir Scholarship,G,I,null,null,null,1200,1200,50000,24,15200,23,14800,10000,13,34800,0,1,Y,null,50000,null,N,N,null,null,N,null,N,null,null,null,null,null,null,null,null,null,N,null,null,null,null,Y,null,null,null,null,null,null,N,null,N,R,G,Y,Y,null,null,false,false,false,false,null,false,false,1,P,true,true,true,false,null,null,G,null,false,true,true,true,null,null,dbfs:/mnt/adl/source-data/Snapshot/PFAIDS/funds/funds_202511200908.json.gz,2025-11-20T00:00:00.000Z
24,1999,null,null,null,null,UNCF Citibank,CITIBANK,UNCF Citibank Scholarship,G,O,null,null,null,null,null,0,0,0,0,0,0,0,0,null,null,Y,null,0,null,null,N,null,null,N,null,N,null,null,null,null,null,null,null,null,null,N,null,null,null,null,Y,null,null,null,null,null,null,N,null,N,R,G,Y,Y,null,null,false,false,false,false,null,false,false,1,P,true,true,true,false,null,null,G,null,false,true,true,true,null,null,dbfs:/mnt/adl/source-data/Snapshot/PFAIDS/funds/funds_202511200908.json.gz,2025-11-20T00:00:00.000Z
25,1999,null,null,null,905,Citizen,CITIZEN,Citizen Scholarship,G,O,null,null,null,5000,5000,50000,1,1000,1,1000,1000,1,49000,null,null,Y,null,50000,Y,null,N,null,null,N,null,N,null,null,null,null,null,null,null,null,null,N,null,null,null,null,Y,null,null,null,null,null,null,N,null,N,R,G,Y,Y,null,null,false,false,false,false,null,false,false,1,P,true,true,true,false,null,null,G,null,false,true,true,true,null,null,dbfs:/mnt/adl/source-data/Snapshot/PFAIDS/funds/funds_202511200908.json.gz,2025-11-20T00:00:00.000Z
