"Term","AwardYear","Sport","ScholarshipStatus","TotalStudents","AvgCareerGPA","AvgHoursEarned","AvgHoursAttempted","Students_GPA_Above_3_5","Students_GPA_3_0_to_3_5","Students_GPA_2_5_to_3_0","Students_GPA_Below_2_5"
"Fall 2019","2019","Track & Field","No Scholarship","23","1.6966","62","89","0","0","0","1"
"Fall 2019","2019","Track & Field","On Scholarship","1","3.0394","127","127","0","1","0","0"
"Fall 2019","2019","Volleyball","No Scholarship","7","","","","0","0","0","0"
"Fall 2019 Online","2019","Baseball","No Scholarship","8","1.96685","75.5","93","0","0","0","2"
"Fall 2019 Online","2019","Basketball","No Scholarship","78","1.22291111111111","25.8888888888889","30.8888888888889","0","1","1","7"
"Fall 2019 Online","2019","Track & Field","No Scholarship","24","2.368","94.5","108","0","1","0","1"
"Fall 2019 Online","2019","Volleyball","No Scholarship","7","","","","0","0","0","0"
"Fall 2019 Online Part-Time","2019","Baseball","No Scholarship","8","1.96685","75.5","93","0","0","0","2"
"Fall 2019 Online Part-Time","2019","Basketball","No Scholarship","78","1.22291111111111","25.8888888888889","30.8888888888889","0","1","1","7"
"Fall 2019 Online Part-Time","2019","Track & Field","No Scholarship","24","2.368","94.5","108","0","1","0","1"
"Fall 2019 Online Part-Time","2019","Volleyball","No Scholarship","7","","","","0","0","0","0"
"OMP Fall 2019","2019","Baseball","No Scholarship","11","1.96685","75.5","93","0","0","0","2"
"OMP Fall 2019","2019","Basketball","No Scholarship","157","1.33635384615385","38.3076923076923","41.7692307692308","0","2","2","9"
"OMP Fall 2019","2019","Track & Field","No Scholarship","32","1.72906","57.6","68.8","0","1","0","4"
"OMP Fall 2019","2019","Volleyball","No Scholarship","18","","","","0","0","0","0"
"OMP Spring 2020","2019","Baseball","No Scholarship","20","0.5635","15.5","19.875","0","0","0","7"
"OMP Spring 2020","2019","Basketball","No Scholarship","106","0.849957142857143","28.4285714285714","30.4761904761905","0","2","3","15"
"OMP Spring 2020","2019","Track & Field","No Scholarship","39","1.34715","45","47.7","0","2","2","6"
"OMP Spring 2020","2019","Volleyball","No Scholarship","3","","","","0","0","0","0"
"Spring 2020","2019","Baseball","No Scholarship","19","0.5635","15.5","19.875","0","0","0","7"
"Spring 2020","2019","Basketball","No Scholarship","103","0.849957142857143","28.4285714285714","30.4761904761905","0","2","3","15"
"Spring 2020","2019","Track & Field","No Scholarship","38","1.34715","45","47.7","0","2","2","6"
"Spring 2020","2019","Volleyball","No Scholarship","3","","","","0","0","0","0"
